argouml(12),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.21276595744680848,0.0945626477541371,0.1891252955082742,0.1891252955082742,0.11820330969267138,0.1891252955082742,0.1891252955082742,0.1891252955082742,0.16548463356973994,0.11820330969267138,0.04728132387706855,0.21276595744680848,0.14184397163120566,0.14184397163120566,0.21276595744680848,0.1891252955082742,0.21276595744680848
10%,0.0,0.13002364066193853,0.08274231678486997,0.11820330969267138,0.10638297872340424,0.10638297872340424,0.11820330969267138,0.14184397163120566,0.14184397163120566,0.11820330969267138,0.05910165484633569,0.07092198581560283,0.11820330969267138,0.0945626477541371,0.08274231678486997,0.13002364066193853,0.10638297872340424,0.13002364066193853
15%,0.015760441292356184,0.09456264775413711,0.06304176516942474,0.09456264775413711,0.08668242710795902,0.07880220646178093,0.08668242710795902,0.09456264775413711,0.09456264775413711,0.08668242710795902,0.04728132387706856,0.06304176516942474,0.08668242710795902,0.07880220646178093,0.07092198581560283,0.09456264775413711,0.09456264775413711,0.09456264775413711
20%,0.023640661938534275,0.07092198581560283,0.05319148936170212,0.07092198581560283,0.07092198581560283,0.05910165484633569,0.06501182033096926,0.07092198581560283,0.07092198581560283,0.06501182033096926,0.041371158392434985,0.05319148936170212,0.07092198581560283,0.05910165484633569,0.05319148936170212,0.07092198581560283,0.07092198581560283,0.07092198581560283
25%,0.018912529550827423,0.05673758865248227,0.04728132387706856,0.05673758865248227,0.05673758865248227,0.04728132387706856,0.05200945626477541,0.05673758865248227,0.05673758865248227,0.05200945626477541,0.03309692671394799,0.04728132387706856,0.05673758865248227,0.04728132387706856,0.04728132387706856,0.05673758865248227,0.05673758865248227,0.05673758865248227
30%,0.019700551615445233,0.04728132387706856,0.039401103230890466,0.04728132387706856,0.04728132387706856,0.039401103230890466,0.04334121355397951,0.04728132387706856,0.04728132387706856,0.04334121355397951,0.035460992907801414,0.039401103230890466,0.04728132387706856,0.04334121355397951,0.04728132387706856,0.04728132387706856,0.04728132387706856,0.04728132387706856
35%,0.0303951367781155,0.04052684903748733,0.03377237419790611,0.04052684903748733,0.04052684903748733,0.03377237419790611,0.04052684903748733,0.04052684903748733,0.04052684903748733,0.04052684903748733,0.0303951367781155,0.03377237419790611,0.04052684903748733,0.04052684903748733,0.04052684903748733,0.04052684903748733,0.04052684903748733,0.04052684903748733
40%,0.029550827423167846,0.035460992907801414,0.029550827423167846,0.035460992907801414,0.035460992907801414,0.029550827423167846,0.035460992907801414,0.035460992907801414,0.035460992907801414,0.035460992907801414,0.029550827423167846,0.03250591016548463,0.035460992907801414,0.035460992907801414,0.035460992907801414,0.035460992907801414,0.035460992907801414,0.035460992907801414
45%,0.026267402153926978,0.031520882584712376,0.026267402153926978,0.031520882584712376,0.031520882584712376,0.028894142369319677,0.031520882584712376,0.031520882584712376,0.031520882584712376,0.031520882584712376,0.026267402153926978,0.028894142369319677,0.031520882584712376,0.031520882584712376,0.031520882584712376,0.031520882584712376,0.031520882584712376,0.031520882584712376
50%,0.02364066193853428,0.028368794326241134,0.026004728132387706,0.028368794326241134,0.028368794326241134,0.026004728132387706,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.026004728132387706,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.028368794326241134,0.028368794326241134
