ant_main(10),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.2181818197581393,0.07272727292431287,0.1818181818181818,0.1818181818181818,0.07272727292431287,0.10909090987906965,0.07272727292431287,0.07272727292431287,0.2545454537572939,0.2181818197581393,0.07272727292431287,0.1818181818181818,0.14545454584862574,0.07272727292431287,0.1818181818181818,0.1818181818181818,0.2545454537572939
10%,0.0,0.16000000023841857,0.08000000011920928,0.16000000023841857,0.12000000047683713,0.12000000047683713,0.16000000023841857,0.12000000047683713,0.12000000047683713,0.16000000023841857,0.16000000023841857,0.13999999976158142,0.16000000023841857,0.12000000047683713,0.13999999976158142,0.16000000023841857,0.12000000047683713,0.16000000023841857
15%,0.0,0.11034482769960456,0.08275862091645049,0.11034482769960456,0.09655172402453337,0.09655172402453337,0.11034482769960456,0.08275862091645049,0.08275862091645049,0.11034482769960456,0.11034482769960456,0.11034482769960456,0.11034482769960456,0.09655172402453337,0.09655172402453337,0.11034482769960456,0.09655172402453337,0.11034482769960456
20%,0.0,0.0842105263818334,0.0842105263818334,0.0947368419731753,0.0842105263818334,0.07368421046027186,0.0842105263818334,0.0947368419731753,0.0947368419731753,0.0842105263818334,0.0947368419731753,0.0842105263818334,0.0842105263818334,0.0842105263818334,0.0842105263818334,0.0842105263818334,0.0842105263818334,0.0947368419731753
25%,0.0,0.06808510642615094,0.07659574459450662,0.0851063829787234,0.06808510642615094,0.05957446804193416,0.06808510642615094,0.07659574459450662,0.07659574459450662,0.06808510642615094,0.07659574459450662,0.07659574459450662,0.06808510642615094,0.0851063829787234,0.07659574459450662,0.06808510642615094,0.06808510642615094,0.07659574459450662
30%,0.0,0.057142857173267676,0.06428571422489322,0.07142857142857142,0.057142857173267676,0.057142857173267676,0.057142857173267676,0.06428571422489322,0.06428571422489322,0.057142857173267676,0.06428571422489322,0.06428571422489322,0.06428571422489322,0.07142857142857142,0.07142857142857142,0.057142857173267676,0.057142857173267676,0.06428571422489322
35%,0.0,0.049230769253341404,0.05538461533947104,0.06153846153846154,0.049230769253341404,0.05538461533947104,0.049230769253341404,0.05538461533947104,0.05538461533947104,0.049230769253341404,0.05538461533947104,0.05538461533947104,0.06153846153846154,0.06153846153846154,0.06153846153846154,0.049230769253341404,0.049230769253341404,0.05538461533947104
40%,0.005405405407582346,0.043243243260658766,0.0486486486138176,0.05405405405405406,0.043243243260658766,0.0486486486138176,0.05405405405405406,0.0486486486138176,0.0486486486138176,0.043243243260658766,0.0486486486138176,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.05405405405405406,0.043243243260658766,0.043243243260658766,0.0486486486138176
45%,0.014457831339144642,0.038554216881313316,0.04337349394821674,0.048192771084337345,0.038554216881313316,0.04337349394821674,0.048192771084337345,0.04337349394821674,0.04337349394821674,0.038554216881313316,0.04337349394821674,0.048192771084337345,0.048192771084337345,0.048192771084337345,0.048192771084337345,0.04337349394821674,0.038554216881313316,0.048192771084337345
50%,0.02173913043478261,0.03913043476007386,0.03913043476007386,0.04347826086956522,0.03478260870691959,0.03913043476007386,0.04347826086956522,0.03913043476007386,0.03913043476007386,0.03478260870691959,0.03913043476007386,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.03913043476007386,0.03478260870691959,0.04347826086956522
