jmeter_core(14),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.22222222336689304,0.14814815158216055,0.22222222336689304,0.14814815158216055,0.22222222336689304,0.14814815158216055,0.14814815158216055,0.14814815158216055,0.3703703749490536,0.14814815158216055,0.2962963031643211,0.22222222336689304,0.22222222336689304,0.22222222336689304,0.22222222336689304,0.14814815158216055,0.22222222336689304
10%,0.0,0.2500000020861626,0.2500000020861626,0.35000000000000003,0.20000000312924376,0.2500000020861626,0.3000000010430813,0.3000000010430813,0.3000000010430813,0.2500000020861626,0.10000000156462188,0.3000000010430813,0.3000000010430813,0.35000000000000003,0.3000000010430813,0.20000000312924376,0.20000000312924376,0.2500000020861626
15%,0.0754716990044126,0.3018867960176504,0.22641509493375936,0.3396226403211605,0.2641509433962264,0.22641509493375936,0.3396226403211605,0.2641509433962264,0.2641509433962264,0.22641509493375936,0.18867924647129228,0.22641509493375936,0.3018867960176504,0.3396226403211605,0.37735849294258456,0.18867924647129228,0.2641509433962264,0.2641509433962264
20%,0.06060606118076102,0.3030303045628375,0.18181818220131543,0.3030303045628375,0.27272727196100544,0.18181818220131543,0.3030303045628375,0.24242424472304408,0.24242424472304408,0.3030303045628375,0.18181818220131543,0.3030303045628375,0.3030303045628375,0.3030303045628375,0.3030303045628375,0.21212121212121213,0.27272727196100544,0.24242424472304408
25%,0.05063291179352588,0.25316455803168086,0.1518987344446291,0.3037974688892582,0.2784810115885723,0.1518987344446291,0.25316455803168086,0.25316455803168086,0.25316455803168086,0.2784810115885723,0.20253164717410352,0.25316455803168086,0.25316455803168086,0.2784810115885723,0.2784810115885723,0.25316455803168086,0.25316455803168086,0.22784810073099504
30%,0.06521739140293775,0.260869565611751,0.15217391304347827,0.260869565611751,0.260869565611751,0.15217391304347827,0.21739130513654537,0.2391304339938894,0.2391304339938894,0.260869565611751,0.17391304466133978,0.21739130513654537,0.260869565611751,0.28260869446909487,0.28260869446909487,0.2391304339938894,0.260869565611751,0.2391304339938894
35%,0.1523809532892136,0.22857142887418233,0.17142857112581766,0.22857142887418233,0.22857142887418233,0.1523809532892136,0.22857142887418233,0.22857142887418233,0.22857142887418233,0.22857142887418233,0.17142857112581766,0.22857142887418233,0.24761904671078636,0.2666666666666667,0.24761904671078636,0.22857142887418233,0.22857142887418233,0.24761904671078636
40%,0.152542372641636,0.2033898307481945,0.16949152590316865,0.2203389823316877,0.2033898307481945,0.13559322105814278,0.2033898307481945,0.2033898307481945,0.2033898307481945,0.2033898307481945,0.152542372641636,0.2203389823316877,0.2203389823316877,0.23728813559322035,0.23728813559322035,0.2033898307481945,0.2033898307481945,0.2203389823316877
45%,0.1374045799581691,0.18320610706473167,0.15267175611419614,0.21374045801526717,0.18320610706473167,0.12213740516366065,0.21374045801526717,0.1984732818592401,0.1984732818592401,0.18320610706473167,0.15267175611419614,0.21374045801526717,0.21374045801526717,0.21374045801526717,0.21374045801526717,0.18320610706473167,0.18320610706473167,0.1984732818592401
50%,0.12499999983903068,0.18055555507264753,0.1527777774558391,0.19444444444444445,0.166666666827636,0.12499999983903068,0.19444444444444445,0.18055555507264753,0.18055555507264753,0.19444444444444445,0.1527777774558391,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.19444444444444445,0.166666666827636,0.166666666827636,0.19444444444444445
