jhotdraw(9),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.22058823529411764,0.14705882352941177,0.2573529411764706,0.22058823529411764,0.14705882352941177,0.2573529411764706,0.22058823529411764,0.22058823529411764,0.22058823529411764,0.03676470588235294,0.29411764705882354,0.2573529411764706,0.22058823529411764,0.18382352941176472,0.22058823529411764,0.2573529411764706,0.2573529411764706
10%,0.0,0.1286764705882353,0.09191176470588236,0.16544117647058823,0.14705882352941177,0.09191176470588236,0.16544117647058823,0.1286764705882353,0.1286764705882353,0.11029411764705882,0.03676470588235294,0.16544117647058823,0.16544117647058823,0.16544117647058823,0.16544117647058823,0.1286764705882353,0.14705882352941177,0.16544117647058823
15%,0.0,0.1102941176470588,0.06127450980392156,0.1102941176470588,0.1102941176470588,0.07352941176470587,0.1102941176470588,0.1102941176470588,0.1102941176470588,0.0980392156862745,0.024509803921568624,0.1102941176470588,0.1102941176470588,0.1102941176470588,0.1102941176470588,0.08578431372549018,0.1102941176470588,0.1102941176470588
20%,0.0,0.08272058823529412,0.04595588235294118,0.08272058823529412,0.08272058823529412,0.05514705882352941,0.08272058823529412,0.08272058823529412,0.08272058823529412,0.08272058823529412,0.027573529411764705,0.08272058823529412,0.08272058823529412,0.08272058823529412,0.08272058823529412,0.07352941176470588,0.08272058823529412,0.08272058823529412
25%,0.007352941176470588,0.0661764705882353,0.058823529411764705,0.0661764705882353,0.0661764705882353,0.04411764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.04411764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353,0.0661764705882353
30%,0.024509803921568624,0.0551470588235294,0.04901960784313725,0.0551470588235294,0.0551470588235294,0.04289215686274509,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.036764705882352935,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.0551470588235294,0.0551470588235294
35%,0.03676470588235294,0.04726890756302521,0.04201680672268907,0.04726890756302521,0.04726890756302521,0.04201680672268907,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04201680672268907,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04726890756302521,0.04726890756302521
40%,0.03216911764705883,0.04136029411764706,0.03676470588235294,0.04136029411764706,0.04136029411764706,0.03676470588235294,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.03676470588235294,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.04136029411764706,0.04136029411764706
45%,0.028594771241830064,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.032679738562091505,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.032679738562091505,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294,0.03676470588235294
50%,0.029411764705882353,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765,0.03308823529411765
