ant_main(10),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.6000000238418579,0.20000000298023224,0.5,0.5,0.20000000298023224,0.30000001192092896,0.20000000298023224,0.20000000298023224,0.699999988079071,0.6000000238418579,0.20000000298023224,0.5,0.4000000059604645,0.20000000298023224,0.5,0.5,0.699999988079071
10%,0.0,0.800000011920929,0.4000000059604645,0.800000011920929,0.6000000238418579,0.6000000238418579,0.800000011920929,0.6000000238418579,0.6000000238418579,0.800000011920929,0.800000011920929,0.699999988079071,0.800000011920929,0.6000000238418579,0.699999988079071,0.800000011920929,0.6000000238418579,0.800000011920929
15%,0.0,0.800000011920929,0.6000000238418579,0.800000011920929,0.699999988079071,0.699999988079071,0.800000011920929,0.6000000238418579,0.6000000238418579,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.699999988079071,0.699999988079071,0.800000011920929,0.699999988079071,0.800000011920929
20%,0.0,0.800000011920929,0.800000011920929,0.8999999761581421,0.800000011920929,0.699999988079071,0.800000011920929,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,0.8999999761581421
25%,0.0,0.800000011920929,0.8999999761581421,1.0,0.800000011920929,0.699999988079071,0.800000011920929,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,0.8999999761581421,0.800000011920929,1.0,0.8999999761581421,0.800000011920929,0.800000011920929,0.8999999761581421
30%,0.0,0.800000011920929,0.8999999761581421,1.0,0.800000011920929,0.800000011920929,0.800000011920929,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,0.8999999761581421,0.8999999761581421,1.0,1.0,0.800000011920929,0.800000011920929,0.8999999761581421
35%,0.0,0.800000011920929,0.8999999761581421,1.0,0.800000011920929,0.8999999761581421,0.800000011920929,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,0.8999999761581421,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.8999999761581421
40%,0.10000000149011612,0.800000011920929,0.8999999761581421,1.0,0.800000011920929,0.8999999761581421,1.0,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,1.0,1.0,1.0,1.0,0.800000011920929,0.800000011920929,0.8999999761581421
45%,0.30000001192092896,0.800000011920929,0.8999999761581421,1.0,0.800000011920929,0.8999999761581421,1.0,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,1.0,1.0,1.0,1.0,0.8999999761581421,0.800000011920929,1.0
50%,0.5,0.8999999761581421,0.8999999761581421,1.0,0.800000011920929,0.8999999761581421,1.0,0.8999999761581421,0.8999999761581421,0.800000011920929,0.8999999761581421,1.0,1.0,1.0,1.0,0.8999999761581421,0.800000011920929,1.0
