jedit(7),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.2274573517465475,0.16246953740235626,0.2274573517465475,0.2274573517465475,0.16246953740235626,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.16246953740235626,0.19496344457445186,0.2274573517465475,0.19496344457445186,0.19496344457445186,0.19496344457445186,0.2274573517465475,0.19496344457445186
10%,0.0,0.12058570198105081,0.08613264439599427,0.12058570198105081,0.12058570198105081,0.08613264439599427,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.12058570198105081,0.08613264439599427,0.10335917318852254,0.12058570198105081,0.10335917318852254,0.10335917318852254,0.12058570198105081,0.12058570198105081,0.12058570198105081
15%,0.0,0.08203926164664518,0.05859947266205591,0.08203926164664518,0.08203926164664518,0.05859947266205591,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.05859947266205591,0.07031936715435055,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518,0.08203926164664518
20%,0.0,0.06216696269982237,0.044404973389923975,0.06216696269982237,0.06216696269982237,0.044404973389923975,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.044404973389923975,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.06216696269982237,0.06216696269982237
25%,0.0,0.050044682752457555,0.03574620198736655,0.050044682752457555,0.050044682752457555,0.03574620198736655,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.03574620198736655,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.050044682752457555,0.050044682752457555
30%,0.011965300639378505,0.04187855219862399,0.029913251585379334,0.04187855219862399,0.04187855219862399,0.029913251585379334,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.029913251585379334,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.04187855219862399,0.04187855219862399
35%,0.020573485936576943,0.036003600360036,0.0257168574110633,0.036003600360036,0.036003600360036,0.0257168574110633,0.036003600360036,0.036003600360036,0.036003600360036,0.036003600360036,0.0257168574110633,0.036003600360036,0.036003600360036,0.036003600360036,0.036003600360036,0.036003600360036,0.036003600360036,0.036003600360036
40%,0.02706359946297241,0.03157419936851601,0.02255299955742882,0.03157419936851601,0.03157419936851601,0.02255299955742882,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.02255299955742882,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.03157419936851601,0.03157419936851601
45%,0.02409880510427915,0.028115272617732705,0.020082337590825585,0.028115272617732705,0.028115272617732705,0.020082337590825585,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.020082337590825585,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.028115272617732705,0.028115272617732705
50%,0.021719457016308313,0.025339366515837104,0.021719457016308313,0.025339366515837104,0.025339366515837104,0.018099547516779526,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.018099547516779526,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.025339366515837104,0.025339366515837104
