jhotdraw(9),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.33149171516334264,0.2209944755474816,0.386740333129153,0.33149171516334264,0.16574585758167132,0.4419889510949632,0.33149171516334264,0.33149171516334264,0.2762430971975324,0.0552486188868704,0.4419889510949632,0.4419889510949632,0.33149171516334264,0.2762430971975324,0.2762430971975324,0.386740333129153,0.386740333129153
10%,0.0,0.22082018980827933,0.15772870769226838,0.2839116719242902,0.2523659308662848,0.15772870769226838,0.2523659308662848,0.22082018980827933,0.22082018980827933,0.2523659308662848,0.0630914827165712,0.2839116719242902,0.2839116719242902,0.2839116719242902,0.2839116719242902,0.22082018980827933,0.2523659308662848,0.2839116719242902
15%,0.0,0.19867549668874168,0.11037527646101464,0.19867549668874168,0.19867549668874168,0.11037527646101464,0.19867549668874168,0.19867549668874168,0.19867549668874168,0.17660044163180993,0.044150110407952484,0.19867549668874168,0.19867549668874168,0.19867549668874168,0.19867549668874168,0.15452538657487816,0.19867549668874168,0.19867549668874168
20%,0.0,0.15280135823429541,0.08488964377275622,0.15280135823429541,0.15280135823429541,0.08488964377275622,0.15280135823429541,0.15280135823429541,0.15280135823429541,0.15280135823429541,0.03395585740472766,0.15280135823429541,0.15280135823429541,0.15280135823429541,0.15280135823429541,0.13582342961891064,0.15280135823429541,0.15280135823429541
25%,0.01379310345465448,0.12413793103448276,0.11034482763723584,0.12413793103448276,0.12413793103448276,0.08275862084274202,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.08275862084274202,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.12413793103448276,0.12413793103448276
30%,0.04645760745130792,0.10452961672473866,0.09291521490261584,0.10452961672473866,0.10452961672473866,0.06968641125837022,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.06968641125837022,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.10452961672473866,0.10452961672473866
35%,0.07021063194965456,0.09027081243731193,0.08024072219348324,0.09027081243731193,0.09027081243731193,0.06018054170582587,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.06018054170582587,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.09027081243731193,0.09027081243731193
40%,0.06178287735864698,0.0794351279788173,0.07060900266873214,0.0794351279788173,0.0794351279788173,0.06178287735864698,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.05295675204856181,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.0794351279788173,0.0794351279788173
45%,0.05516154455655855,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.05516154455655855,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.05516154455655855,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283,0.07092198581560283
50%,0.05693950179294694,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.04982206408411452,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.04982206408411452,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935,0.06405693950177935
