jedit(7),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.12832263978001832,0.09165902841429881,0.12832263978001832,0.12832263978001832,0.09165902841429881,0.10999083409715855,0.10999083409715855,0.10999083409715855,0.10999083409715855,0.09165902841429881,0.10999083409715855,0.12832263978001832,0.10999083409715855,0.10999083409715855,0.10999083409715855,0.12832263978001832,0.10999083409715855
10%,0.0,0.06416131989000916,0.045829514207149404,0.06416131989000916,0.06416131989000916,0.045829514207149404,0.06416131989000916,0.06416131989000916,0.06416131989000916,0.06416131989000916,0.045829514207149404,0.05499541704857928,0.06416131989000916,0.05499541704857928,0.05499541704857928,0.06416131989000916,0.06416131989000916,0.06416131989000916
15%,0.0,0.04277421326000611,0.030553009471432933,0.04277421326000611,0.04277421326000611,0.030553009471432933,0.04277421326000611,0.04277421326000611,0.04277421326000611,0.04277421326000611,0.030553009471432933,0.03666361136571952,0.04277421326000611,0.04277421326000611,0.04277421326000611,0.04277421326000611,0.04277421326000611,0.04277421326000611
20%,0.0,0.03208065994500458,0.022914757103574702,0.03208065994500458,0.03208065994500458,0.022914757103574702,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.022914757103574702,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.03208065994500458,0.03208065994500458
25%,0.0,0.025664527956003668,0.01833180568285976,0.025664527956003668,0.025664527956003668,0.01833180568285976,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.01833180568285976,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.025664527956003668,0.025664527956003668
30%,0.006110601894286587,0.021387106630003056,0.015276504735716467,0.021387106630003056,0.021387106630003056,0.015276504735716467,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.015276504735716467,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.021387106630003056,0.021387106630003056
35%,0.01047531753306272,0.01833180568285976,0.013094146916328401,0.01833180568285976,0.01833180568285976,0.013094146916328401,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.013094146916328401,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.01833180568285976,0.01833180568285976
40%,0.01374885426214482,0.01604032997250229,0.011457378551787351,0.01604032997250229,0.01604032997250229,0.011457378551787351,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.011457378551787351,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.01604032997250229,0.01604032997250229
45%,0.012221203788573175,0.014258071086668704,0.010184336490477645,0.014258071086668704,0.014258071086668704,0.010184336490477645,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.010184336490477645,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.014258071086668704,0.014258071086668704
50%,0.010999083409715857,0.012832263978001834,0.010999083409715857,0.012832263978001834,0.012832263978001834,0.00916590284142988,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.00916590284142988,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.012832263978001834,0.012832263978001834
