jhotdraw(9),a-index,inDeg,outDeg,allDeg,inWDeg,outWDeg,allWDeg,ForwardBackPageRank-Sora,ForwardPageRank-Sora,inDeg-core,outDeg-core,g-core,g-core-Right,h-index,k-core,LiuPageRank,TSEPageRank,TSEPageRank_v15
5%,0.0,0.6666666865348816,0.4444444477558136,0.7777777910232544,0.6666666865348816,0.3333333432674408,0.8888888955116272,0.6666666865348816,0.6666666865348816,0.5555555820465088,0.1111111119389534,0.8888888955116272,0.8888888955116272,0.6666666865348816,0.5555555820465088,0.5555555820465088,0.7777777910232544,0.7777777910232544
10%,0.0,0.7777777910232544,0.5555555820465088,1.0,0.8888888955116272,0.5555555820465088,0.8888888955116272,0.7777777910232544,0.7777777910232544,0.8888888955116272,0.2222222238779068,1.0,1.0,1.0,1.0,0.7777777910232544,0.8888888955116272,1.0
15%,0.0,1.0,0.5555555820465088,1.0,1.0,0.5555555820465088,1.0,1.0,1.0,0.8888888955116272,0.2222222238779068,1.0,1.0,1.0,1.0,0.7777777910232544,1.0,1.0
20%,0.0,1.0,0.5555555820465088,1.0,1.0,0.5555555820465088,1.0,1.0,1.0,1.0,0.2222222238779068,1.0,1.0,1.0,1.0,0.8888888955116272,1.0,1.0
25%,0.1111111119389534,1.0,0.8888888955116272,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30%,0.4444444477558136,1.0,0.8888888955116272,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35%,0.7777777910232544,1.0,0.8888888955116272,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40%,0.7777777910232544,1.0,0.8888888955116272,1.0,1.0,0.7777777910232544,1.0,1.0,1.0,1.0,0.6666666865348816,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45%,0.7777777910232544,1.0,1.0,1.0,1.0,0.7777777910232544,1.0,1.0,1.0,1.0,0.7777777910232544,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50%,0.8888888955116272,1.0,1.0,1.0,1.0,0.7777777910232544,1.0,1.0,1.0,1.0,0.7777777910232544,1.0,1.0,1.0,1.0,1.0,1.0,1.0
